id	source	experiment	personality	mr	pred_text	has_error	error_details
seq_token_supervision_model27_008	seq2seq	token_supervision_model27	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], customerRating[excellent], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . i see , well it is a restaurant with a excellent rating and it is n't family friendly , also it 's sort of near nearvariable .		
llm_exp6_004	llm	exp6	AGREEABLE	name[nameVariable], eatType[pub], food[Japanese], priceRange[20-25], customerRating[high], area[riverside], familyFriendly[yes], near[nearVariable]	Did you mention nameVariable? Well, let's check it out. It is somewhat a pub establishment serving Japanese food with a price range of £20-25, and it seems to me it has a rather high customer rating. It's located in the riverside area with family-friendly vibes, also it's quite near to nearVariable, isn’t it?		
llm_exp8_001	llm	exp8	EXTRAVERT	name[nameVariable], eatType[pub], food[Italian], priceRange[moderate], area[city centre], familyFriendly[yes], near[nearVariable]	nameVariable is a pub that serves Italian food in the city centre with a moderate price range and it's family friendly, also it's near nearVariable, you know!		
llm_exp8_002	llm	exp8	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Italian], priceRange[20-25], area[riverside], familyFriendly[yes], near[nearVariable]	Did you say nameVariable? Well, I see it is an Italian pub located in riverside with a price range of £20-25, also it is family friendly and near nearVariable.		
seq_token_supervision_model27_009	seq2seq	token_supervision_model27	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Chinese], priceRange[high], area[_area_variable_], familyFriendly[yes], near[nearVariable]	oh god yeah , i am not sure . namevariable is a pub , also it is a chinese place , also it is expensive , and it 's kind of in _area_variable_ , also it is family friendly near nearvariable .		
seq_token_supervision_model27_010	seq2seq	token_supervision_model27	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[Italian], area[_area_variable_], familyFriendly[no], near[nearVariable]	namevariable is an italian place in _area_variable_ . it 's a restaurant . it is n't damn kid friendly . it is near nearvariable .		
llm_exp7_003	llm	exp7	AGREEABLE	name[nameVariable], eatType[pub], food[Japanese], priceRange[high], area[riverside], familyFriendly[yes], near[nearVariable]	Did you say nameVariable? Ok, well nameVariable is a pub near nearVariable in the riverside area and it serves Japanese food. It's got a rather high price range and it is somewhat family friendly, isn't it?		
llm_exp8_003	llm	exp8	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Italian], priceRange[moderate], area[riverside], familyFriendly[yes], near[nearVariable]	Did you say nameVariable? I see, well it seems to me that it's kind of an Italian restaurant in riverside, moderately priced and sort of near nearVariable, also it is family friendly.		
llm_exp9_008	llm	exp9	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Indian], priceRange[cheap], customerRating[average], area[city centre], familyFriendly[no], near[nearVariable]	Did you say nameVariable? I see, well it is a cheap Indian restaurant in city centre with an average rating. Also, it isn't kid friendly and it's near nearVariable.		
seq_features_token_model7_005	seq2seq	features_token_model7	AGREEABLE	name[nameVariable], eatType[restaurant], food[Indian], priceRange[cheap], customerRating[excellent], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . i see , it is an indian restaurant in _area_variable_ near nearvariable and cheap with a excellent rating , also it is a restaurant , also it is n't somewhat kid friendly , you know , okay ?		
llm_exp5_001	llm	exp5	EXTRAVERT	name[nameVariable], eatType[pub], food[French], priceRange[cheap], customerRating[excellent], area[riverside], familyFriendly[no], near[nearVariable]	nameVariable is a French place near nearVariable, it is a pub, you see, and it's cheap with an excellent rating, not kid friendly, and it's in riverside area, you know, mate!		
llm_exp3_005	llm	exp3	DISAGREEABLE	name[nameVariable], eatType[pub], food[Indian], priceRange[high], area[riverside], familyFriendly[no], near[nearVariable]	nameVariable is a pub, but it's not kid friendly. It's an Indian place and it's expensive, in riverside near nearVariable. Seriously. 		
llm_exp4_003	llm	exp4	AGREEABLE	name[nameVariable], eatType[restaurant], food[English], priceRange[20-25], area[riverside], familyFriendly[yes], near[nearVariable]	Let's see... Ok, nameVariable is an English restaurant in riverside with a price range of £20-25, it's near nearVariable and quite family friendly too, alright?		
llm_exp4_004	llm	exp4	EXTRAVERT	name[nameVariable], eatType[pub], customerRating[excellent], near[nearVariable]	nameVariable is a pub with an excellent rating, you know! And it is near nearVariable, mate!		
llm_exp8_004	llm	exp8	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[English], area[city centre], familyFriendly[no], near[nearVariable]	Did you say nameVariable? Well, it seems to me that it's an English place in the city centre. It's a pub near nearVariable, also it's rather not family friendly.		
seq_token_supervision_model27_011	seq2seq	token_supervision_model27	AGREEABLE	name[nameVariable], eatType[pub], food[Italian], priceRange[high], customerRating[average], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . yeah , it is a pub with an average rating , also it is an italian restaurant and rather in _area_variable_ expensive near nearvariable , and it is somewhat kid friendly , okay ?		
seq_token_supervision_model27_012	seq2seq	token_supervision_model27	AGREEABLE	name[nameVariable], eatType[restaurant], food[Indian], priceRange[high], customerRating[average], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . i see , it is n't somewhat kid friendly with an average rating , also it is an indian restaurant near nearvariable and rather expensive in _area_variable_ , and it is a restaurant , alright ?		
llm_exp8_005	llm	exp8	DISAGREEABLE	name[nameVariable], eatType[pub], food[fast food], priceRange[moderate], area[city centre], familyFriendly[yes], near[nearVariable]	nameVariable is a fast food pub with a moderate price. Basically, everybody knows it's darn family friendly and it's in city centre. Oh, and nameVariable is near nearVariable. 		
llm_exp6_005	llm	exp6	AGREEABLE	name[nameVariable], eatType[restaurant], food[Indian], priceRange[cheap], customerRating[average], area[riverside], familyFriendly[no], near[nearVariable]	Did you mean nameVariable? Well, it seems nameVariable is a restaurant near nearVariable with a quite cheap price range, also it serves Indian food. It has an average rating and is located in the riverside area. Oh, and it isn't family friendly, right?		
llm_exp6_006	llm	exp6	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[English], priceRange[moderate], area[riverside], familyFriendly[no], near[nearVariable]	nameVariable is damn not for families. Also, it's an English restaurant in the riverside area. It's moderately priced and near nearVariable.		
seq_features_guide_model1_007	seq2seq	features_guide_model1	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Japanese], priceRange[high], area[_area_variable_], familyFriendly[yes], near[nearVariable]	oh god yeah , i do n't know . namevariable is a pub , also it is a japanese place , also it is expensive in _area_variable_ , and it is darn kid friendly near nearvariable .		
llm_exp9_009	llm	exp9	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[English], priceRange[cheap], customerRating[average], area[riverside], familyFriendly[no], near[nearVariable]	Oh God, I thought everybody knew that nameVariable is in riverside with a cheap price range, also it serves English food. I mean, it has like, an average rating. It's not kid friendly and it's near nearVariable. 		
seq_features_token_model7_006	seq2seq	features_token_model7	AGREEABLE	name[nameVariable], eatType[restaurant], customerRating[high], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . i see , yeah it is a restaurant with a high rating and it is somewhat kid friendly near nearvariable , alright ?		
llm_exp4_005	llm	exp4	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[fast food], priceRange[cheap], customerRating[excellent], area[riverside], familyFriendly[no], near[nearVariable]	Oh gosh I am not sure. nameVariable is like, a fast food pub in riverside with an excellent rating, it's near nearVariable, also it's kind of cheap and not kid friendly, I mean.		
seq_features_token_model7_007	seq2seq	features_token_model7	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Japanese], priceRange[cheap], customerRating[excellent], area[_area_variable_], familyFriendly[no], near[nearVariable]	you want to know more about namevariable ? well , i see it is a japanese restaurant and in _area_variable_ cheap near nearvariable with a excellent rating , it is n't family friendly and it 's a pub .		
seq_features_token_model7_008	seq2seq	features_token_model7	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Indian], priceRange[moderate], area[_area_variable_], familyFriendly[yes], near[nearVariable]	oh god yeah , i do n't know . namevariable is a pub , also it is darn moderately priced , an indian place and family friendly in _area_variable_ , and it is near nearvariable .		
seq_features_guide_model1_008	seq2seq	features_guide_model1	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[fast_food], priceRange[cheap], customerRating[average], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . well , i see it is a pub with an average rating , also it is n't kid friendly , and it 's a fast food restaurant in _area_variable_ near nearvariable and cheap .		
seq_token_supervision_model27_013	seq2seq	token_supervision_model27	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[fast_food], priceRange[moderate], customerRating[decent], area[_area_variable_], familyFriendly[no], near[nearVariable]	yeah , i am not sure . namevariable is a pub with a damn decent rating , also it is moderately priced and a fast food place in _area_variable_ , also it is n't kid friendly , and it 's near nearvariable !		
seq_features_guide_model1_009	seq2seq	features_guide_model1	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Chinese], priceRange[cheap], customerRating[average], area[_area_variable_], familyFriendly[no], near[nearVariable]	oh god yeah , i do n't know . namevariable is a chinese place and cheap in _area_variable_ with an average rating , also it is near nearvariable , also it is n't family friendly , and it is a restaurant , i mean .		
llm_exp4_006	llm	exp4	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Chinese], priceRange[high], area[riverside], familyFriendly[yes], near[nearVariable]	Let's see what we can find on nameVariable. I suppose it is a pub that serves Chinese food, kind of in the riverside area, also quite expensive. NameVariable is kid friendly and somewhat close to nearVariable.		
seq_token_supervision_model27_014	seq2seq	token_supervision_model27	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[English], priceRange[cheap], customerRating[average], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . i see , well it is n't kid friendly with an average rating , also it is an english restaurant near nearvariable and cheap in _area_variable_ , and it is a restaurant .		
seq_token_supervision_model27_015	seq2seq	token_supervision_model27	AGREEABLE	name[nameVariable], eatType[pub], food[fast_food], priceRange[cheap], customerRating[excellent], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . i see , it is n't somewhat kid friendly with a excellent rating , also it is a pub , and it is a fast food restaurant in _area_variable_ and rather cheap near nearvariable , you see ?		
seq_token_supervision_model27_016	seq2seq	token_supervision_model27	AGREEABLE	name[nameVariable], eatType[restaurant], food[Chinese], priceRange[moderate], customerRating[mediocre], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . well , it is a chinese restaurant near nearvariable and moderately priced in _area_variable_ with a mediocre rating , also it is a restaurant , and it is n't somewhat kid friendly , you see ?		
seq_features_token_model7_009	seq2seq	features_token_model7	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[English], priceRange[moderate], customerRating[decent], area[_area_variable_], familyFriendly[no], near[nearVariable]	namevariable is moderately priced with a damn decent rating . it is in _area_variable_ . it is a restaurant . it 's an english place . it is n't kid friendly . it is near nearvariable .		
llm_exp9_010	llm	exp9	EXTRAVERT	name[nameVariable], eatType[pub], food[fast food], priceRange[moderate], area[riverside], familyFriendly[no], near[nearVariable]	nameVariable is a fast food place in riverside, you know, it's a pub with moderate prices near nearVariable and it isn't kid friendly!		
seq_token_supervision_model27_017	seq2seq	token_supervision_model27	EXTRAVERT	name[nameVariable], eatType[restaurant], food[Italian], priceRange[cheap], customerRating[average], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable is a restaurant , also it has an average rating , you know , it is an italian place , it is cheap , it 's near nearvariable and it is family friendly in _area_variable_ .		
llm_exp3_006	llm	exp3	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[French], priceRange[moderate], area[city centre], familyFriendly[yes], near[nearVariable]	nameVariable is a French restaurant in the city centre. It's moderately priced and kid friendly. nameVariable is near nearVariable. I mean, really? It's just a restaurant, okay?		
llm_exp5_002	llm	exp5	AGREEABLE	name[nameVariable], eatType[restaurant], food[Indian], priceRange[cheap], area[riverside], familyFriendly[yes], near[nearVariable]	Let's see what we can find on nameVariable. Right, oh it is a restaurant with cheap prices and an Indian menu, found in riverside near nearVariable. It's quite family friendly, you know?		
seq_token_supervision_model27_018	seq2seq	token_supervision_model27	EXTRAVERT	name[nameVariable], eatType[restaurant], food[English], priceRange[high], customerRating[average], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable has an average rating , it is an english place , it is in _area_variable_ , it is a restaurant , you know and it is family friendly and expensive near nearvariable pal !		
seq_features_token_model7_010	seq2seq	features_token_model7	AGREEABLE	name[nameVariable], eatType[pub], food[Indian], priceRange[moderate], area[_area_variable_], familyFriendly[yes], near[nearVariable]	you want to know more about namevariable ? ok , it is a pub , also it is somewhat moderately priced , an indian restaurant and quite family friendly in _area_variable_ , also it is near nearvariable , okay ?		
seq_token_supervision_model27_019	seq2seq	token_supervision_model27	EXTRAVERT	name[nameVariable], eatType[coffee_shop], customerRating[excellent], familyFriendly[no], near[nearVariable]	namevariable is near nearvariable with a excellent rating , also it is a coffee shop , you know and it is n't kid friendly pal !		
seq_features_token_model7_011	seq2seq	features_token_model7	DISAGREEABLE	name[nameVariable], eatType[pub], food[Italian], priceRange[moderate], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable is damn moderately priced , also it 's an italian place . it is a pub and it is kid friendly . it is in _area_variable_ . it is near nearvariable .		
llm_exp5_003	llm	exp5	DISAGREEABLE	name[nameVariable], eatType[pub], food[fast food], area[riverside], familyFriendly[yes], near[nearVariable]	nameVariable is in riverside and it's a pub. Obviously, it's kid friendly and serves fast food. nameVariable is near nearVariable. oh God, I mean, come on.		
seq_token_supervision_model27_020	seq2seq	token_supervision_model27	EXTRAVERT	name[nameVariable], eatType[pub], food[fast_food], priceRange[moderate], customerRating[decent], area[_area_variable_], familyFriendly[no], near[nearVariable]	namevariable is a fast food place in _area_variable_ and moderately priced near nearvariable with a decent rating , you know , it is a pub and it is n't family friendly .		
llm_exp5_004	llm	exp5	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[fast food], priceRange[high], customerRating[average], area[city centre], familyFriendly[no], near[nearVariable]	Oh gosh I don't know. nameVariable is a fast food pub in city centre, also it has an average rating and it is damn expensive, I mean, it isn't kid friendly and it's like, near nearVariable.		
seq_features_guide_model1_010	seq2seq	features_guide_model1	DISAGREEABLE	name[nameVariable], eatType[pub], food[Japanese], priceRange[20-25], customerRating[decent], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable has a price range of ps20-25 with a decent rating . it is a pub . it is near nearvariable . it 's in _area_variable_ . it is damn kid friendly . it is a japanese place .		
seq_token_supervision_model27_021	seq2seq	token_supervision_model27	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[Japanese], priceRange[moderate], area[_area_variable_], familyFriendly[no], near[nearVariable]	namevariable is a japanese place and moderately priced . it 's near nearvariable . it is n't damn kid friendly . it is in _area_variable_ . it is a restaurant .		
llm_exp3_007	llm	exp3	DISAGREEABLE	name[nameVariable], eatType[pub], food[Japanese], priceRange[high], area[riverside], familyFriendly[yes], near[nearVariable]	nameVariable is in riverside and it's expensive. like seriously, who needs that? nameVariable serves Japanese food and it's near nearVariable. I guess it's family friendly. oh yeah, it's a pub.		
llm_exp3_008	llm	exp3	AGREEABLE	name[nameVariable], eatType[restaurant], food[Chinese], priceRange[high], area[city centre], familyFriendly[no], near[nearVariable]	Let's see what we have on nameVariable. It's a restaurant in the city centre, serves Chinese food and is in a high price range. It's near nearVariable, not family friendly, you know? Alright?		
llm_exp3_009	llm	exp3	AGREEABLE	name[nameVariable], eatType[pub], food[Japanese], priceRange[cheap], area[riverside], familyFriendly[yes], near[nearVariable]	Alright, let's have a look at nameVariable. It's actually a pub that serves Japanese food, and it's quite cheap, you know? It's located in riverside area and it's family friendly too, plus it's near nearVariable, okay?		
llm_exp8_006	llm	exp8	AGREEABLE	name[nameVariable], eatType[coffee shop], customerRating[excellent], near[nearVariable]	Let's see, nameVariable... Oh, did you mention nameVariable? It seems to be a coffee shop with quite an excellent rating, also it's sort of near nearVariable, isn't it?		
llm_exp5_005	llm	exp5	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Italian], priceRange[cheap], customerRating[excellent], area[riverside], familyFriendly[yes], near[nearVariable]	Let's see what we can find on nameVariable. Well, I see it is an Italian restaurant in riverside, it is cheap and has a excellent rating, nameVariable is kid friendly, also it's near nearVariable.		
seq_features_guide_model1_011	seq2seq	features_guide_model1	EXTRAVERT	name[nameVariable], eatType[pub], food[fast_food], priceRange[moderate], customerRating[decent], area[_area_variable_], familyFriendly[no], near[nearVariable]	namevariable has a decent rating , it is a fast food place in _area_variable_ and moderately priced near nearvariable , it is n't family friendly and it 's a pub , you know pal !		
llm_exp9_011	llm	exp9	DISAGREEABLE	name[nameVariable], eatType[pub], food[English], priceRange[moderate], area[riverside], familyFriendly[no], near[nearVariable]	nameVariable is a pub that serves English food near nearVariable and it is in riverside. Also, it is moderately priced. It isn't family friendly.		
seq_features_guide_model1_012	seq2seq	features_guide_model1	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Indian], priceRange[moderate], area[_area_variable_], familyFriendly[yes], near[nearVariable]	oh god yeah , i do n't know . namevariable is a pub , also it is an indian place in _area_variable_ , also it is darn moderately priced near nearvariable and family friendly .		
